"","id","latitude","longitude","price","region","neigborhood"
"305",13621476,"42.32191936","-71.11047179",95,"02130","Forest Hills / Woodbourne"
"306",2365632,"42.30931242","-71.11711989",220,"02130","Jamaica Plain"
"307",10163454,"42.30089711","-71.11196778",54,"02130","Jamaica Plain"
"308",14308511,"42.3077874","-71.11077967",72,"02130","Jamaica Plain"
"309",13751426,"42.30598913","-71.10334861",70,"02130","Jamaica Plain"
"310",1692573,"42.31337883","-71.11718909",135,"02130","Egleston Square"
"311",12932001,"42.31406332","-71.10544008",300,"02119","Jamaica Plain"
"312",5182313,"42.31547795","-71.09929421",110,"02130","Jamaica Plain"
"313",13865867,"42.31254083","-71.1224635",70,"02130","Jamaica Plain"
"314",4331214,"42.30640989","-71.11151039",75,"02130","Roxbury"
"315",12824498,"42.32512116","-71.11292465",70,"02119","Egleston Square"
"316",14602997,"42.31772906","-71.10019199",88,"02119","Jamaica Plain"
"317",6377998,"42.31437713","-71.09951456",480,"02130","Jamaica Plain"
"318",743211,"42.30581336","-71.11259651",550,"02130","Jamaica Plain"
"319",5166870,"42.30503422","-71.10333144",180,"02130","Jamaica Plain"
"320",3593290,"42.30889797","-71.11868977",325,"02130","Jamaica Plain"
"321",14672735,"42.31978117","-71.10467022",65,"02130","Jamaica Plain"
"322",1612842,"42.30826236","-71.11065977",290,"02130","Jamaica Plain"
"323",332225,"42.29128816","-71.11396006",159,"02130","Jamaica Plain"
"324",496022,"42.30920004","-71.11836466",200,"02130","Jamaica Plain"
"325",8720718,"MA","2130",1,"02130","Jamaica Plain"
"326",9212213,"42.32002036","-71.10745885",65,"02130","Jamaica Plain"
"327",8310894,"42.32489128","-71.11446554",99,"02130","Jamaica Plain"
"328",1167221,"42.30776797","-71.11625789",93,"02130","Jamaica Plain"
"329",2592416,"42.30703672","-71.10336802",500,"02130","Jamaica Plain"
"330",1701741,"42.31008194","-71.1196777",295,"02130","Jamaica Plain"
"331",4526315,"42.31359161","-71.12262105",450,"02130","Jamaica Plain"
"332",5918944,"42.31153116","-71.09896776",150,"02130","Jamaica Plain"
"333",5738018,"42.32498597","-71.10549496",95,"02130","Jamaica Plain"
"334",4181530,"42.30725436","-71.11424734",150,"02130","Jamaica Plain"
"335",6065674,"42.31850121","-71.11451134",399,"02130","Jamaica Plain"
"336",13698137,"42.31784765","-71.10720557",71,"02130","Jamaica Plain"
"337",12209652,"42.30466019","-71.10889251",500,"02130","Jamaica Plain"
"338",5049582,"42.31257952","-71.10784329",70,"02130","Jamaica Plain"
"339",12209339,"42.30617229","-71.10670344",125,"02130","Jamaica Plain"
"340",8981656,"42.31373708","-71.11633699",85,"02130","Jamaica Plain"
"341",13110347,"42.3173004","-71.10491021",61,"02130","Jamaica Hills / Pond"
"342",9833460,"42.31263932","-71.10927886",250,"02130","Jamaica Plain"
"343",8801250,"42.31161782","-71.10385273",56,"02130","Roxbury"
"344",11553697,"42.32173185","-71.11186968",200,"02119","Jamaica Plain"
"345",13110084,"42.30595039","-71.10489325",220,"02130","Jamaica Plain"
"346",14682931,"42.31795477","-71.10020426",80,"02130","Jamaica Hills / Pond"
"347",6425318,"42.32141475","-71.10676417",60,"02130","Jamaica Plain"
"348",2378421,"42.31143796","-71.11864462",125,"02130","Jamaica Plain"
"349",2443944,"42.32123277","-71.11568853",500,"02130","Jamaica Plain"
"350",14683493,"42.31222003","-71.11712569",149,"02130","Jamaica Plain"
"351",12949270,"42.32136495","-71.11323106",65,"02130","Jamaica Plain"
"352",12781774,"42.31446165","-71.11391763",99,"02130","Jamaica Plain"
"353",8226982,"42.31858054","-71.10678002",67,"02130","Jamaica Plain"
"354",5212321,"42.31967562","-71.10497281",180,"02130","Jamaica Plain"
"355",4339392,"42.31403582","-71.10777893",170,"02130","Jamaica Plain"
"356",12191871,"42.31086194","-71.09922327",115,"02130","Jamaica Plain"
"357",12190053,"42.31175862","-71.11183649",235,"02130","Jamaica Plain"
"358",6764572,"42.31857757","-71.1062778",89,"02130","Jamaica Plain"
"359",8521792,"42.29731101","-71.11120263",110,"02130","Jamaica Plain"
"360",4065322,"42.30906275","-71.1143544",84,"02130","Forest Hills / Woodbourne"
"361",12209147,"42.30624803","-71.10890837",125,"02130","Jamaica Plain"
"362",14501824,"42.30947825","-71.09930721",130,"02130","Jamaica Plain"
"363",12274601,"42.29661804","-71.11369881",65,"02130","Jamaica Plain"
"364",4457943,"42.31516062","-71.10606961",86,"02130","Jamaica Plain"
"365",9865550,"42.31161779","-71.10492935",75,"02130","Jamaica Plain"
"366",4838985,"42.30956049","-71.1034218",255,"02130","Jamaica Plain"
"367",197972,"42.31732135","-71.10833825",145,"02130","Jamaica Plain"
"368",10749312,"42.31589871","-71.10745634",199,"02130","Jamaica Plain"
"369",1115394,"42.31000894","-71.10176365",91,"02130","Jamaica Plain"
"370",5702292,"42.31314951","-71.10478823",81,"02130","Jamaica Plain"
